iter	Passed	Remaining
413	3409	4825
414	3417	4817
415	3425	4808
416	3433	4799
417	3440	4790
418	3448	4782
419	3456	4773
420	3464	4765
421	3472	4756
422	3482	4750
423	3490	4741
424	3498	4732
425	3506	4724
426	3514	4716
427	3531	4719
428	3539	4711
429	3547	4702
430	3555	4693
431	3563	4685
432	3571	4677
433	3580	4668
434	3589	4661
435	3597	4653
436	3605	4644
437	3614	4637
438	3622	4629
439	3630	4620
440	3638	4612
441	3646	4603
442	3657	4598
443	3665	4589
444	3672	4580
445	3680	4571
446	3688	4563
447	3696	4555
448	3704	4546
449	3712	4537
450	3720	4529
451	3728	4520
452	3736	4512
453	3744	4503
454	3752	4494
455	3760	4485
456	3767	4476
457	3775	4468
458	3783	4459
459	3791	4450
460	3798	4441
461	3806	4432
462	3814	4424
463	3822	4415
464	3830	4407
465	3840	4400
466	3848	4392
467	3856	4383
468	3864	4375
469	3871	4366
470	3879	4357
471	3887	4348
472	3895	4340
473	3903	4331
474	3911	4322
475	3919	4314
476	3927	4306
477	3935	4297
478	3942	4288
479	3950	4279
480	3958	4271
481	3966	4262
482	3974	4253
483	3981	4245
484	3989	4236
485	3998	4228
486	4005	4219
487	4013	4210
488	4024	4205
489	4032	4197
490	4040	4188
491	4048	4180
492	4056	4171
493	4063	4162
494	4071	4153
495	4079	4145
496	4087	4136
497	4095	4128
498	4104	4120
499	4112	4112
500	4123	4106
501	4131	4098
502	4139	4089
503	4147	4081
504	4155	4072
505	4163	4064
506	4172	4056
507	4180	4048
508	4200	4051
509	4212	4047
510	4221	4039
511	4230	4032
512	4239	4024
513	4248	4016
514	4257	4009
515	4267	4002
516	4281	3999
517	4294	3996
518	4303	3988
519	4311	3980
520	4319	3971
521	4327	3963
522	4336	3954
523	4343	3946
524	4352	3937
525	4360	3929
526	4369	3922
527	4384	3919
528	4396	3914
529	4408	3909
530	4417	3901
531	4425	3893
532	4434	3885
533	4441	3876
534	4449	3867
535	4457	3858
536	4465	3850
537	4473	3841
538	4481	3833
539	4489	3824
540	4497	3816
541	4506	3807
542	4514	3799
543	4522	3790
544	4531	3782
545	4539	3774
546	4547	3765
547	4555	3757
548	4564	3749
549	4572	3740
550	4580	3732
551	4588	3724
552	4596	3715
553	4605	3707
554	4613	3698
555	4621	3690
556	4629	3682
557	4637	3673
558	4645	3665
559	4653	3656
560	4662	3648
561	4671	3640
562	4681	3633
563	4689	3625
564	4699	3618
565	4707	3609
566	4715	3601
567	4723	3592
568	4731	3584
569	4740	3576
570	4749	3567
571	4756	3559
572	4765	3550
573	4772	3542
574	4780	3533
575	4789	3525
576	4797	3516
577	4805	3508
578	4813	3499
579	4821	3491
580	4829	3482
581	4837	3474
582	4846	3466
583	4855	3458
584	4863	3450
585	4871	3441
586	4879	3433
587	4888	3424
588	4896	3416
589	4908	3410
590	4916	3402
591	4924	3394
592	4932	3385
593	4942	3378
594	4954	3372
595	4965	3365
596	4973	3357
597	4982	3349
598	4990	3340
599	4998	3332
600	5006	3323
601	5014	3315
602	5023	3307
603	5030	3298
604	5039	3290
605	5047	3281
606	5055	3273
607	5063	3264
608	5071	3255
609	5078	3247
610	5086	3238
611	5096	3230
612	5104	3222
613	5114	3215
614	5121	3206
615	5131	3198
616	5139	3190
617	5148	3182
618	5156	3174
619	5165	3165
620	5173	3157
621	5181	3149
622	5190	3140
623	5198	3132
624	5206	3124
625	5215	3115
626	5223	3107
627	5231	3098
628	5239	3090
629	5249	3082
630	5258	3074
631	5275	3071
632	5285	3064
633	5293	3056
634	5301	3047
635	5310	3039
636	5319	3031
637	5328	3023
638	5336	3015
639	5345	3006
640	5353	2998
641	5361	2989
642	5369	2981
643	5378	2973
644	5386	2964
645	5394	2956
646	5402	2947
647	5411	2939
648	5419	2930
649	5427	2922
650	5435	2914
651	5443	2905
652	5455	2898
653	5463	2890
654	5473	2882
655	5481	2874
656	5489	2866
657	5498	2857
658	5506	2849
659	5514	2840
660	5523	2832
661	5531	2824
662	5539	2815
663	5548	2807
664	5556	2799
665	5565	2791
666	5573	2782
667	5582	2774
668	5591	2766
669	5599	2757
670	5607	2749
671	5615	2741
672	5624	2732
673	5638	2727
674	5647	2719
675	5655	2710
676	5663	2702
677	5671	2693
678	5679	2685
679	5688	2676
680	5696	2668
681	5706	2660
682	5714	2652
683	5722	2643
684	5730	2635
685	5738	2626
686	5746	2618
687	5754	2609
688	5762	2600
689	5770	2592
690	5777	2583
691	5785	2575
692	5795	2567
693	5803	2558
694	5811	2550
695	5826	2544
696	5834	2536
697	5842	2527
698	5850	2519
699	5858	2510
700	5865	2502
701	5873	2493
702	5881	2484
703	5890	2476
704	5897	2467
705	5905	2459
706	5912	2450
707	5920	2441
708	5929	2433
709	5937	2425
710	5946	2417
711	5954	2408
712	5962	2400
713	5970	2391
714	5977	2382
715	5985	2374
716	5993	2365
717	6001	2357
718	6014	2350
719	6022	2342
720	6031	2333
721	6038	2325
722	6047	2316
723	6054	2308
724	6062	2299
725	6070	2291
726	6078	2282
727	6086	2274
728	6095	2265
729	6102	2257
730	6110	2248
731	6118	2240
732	6126	2231
733	6134	2223
734	6142	2214
735	6149	2205
736	6161	2198
737	6171	2191
738	6180	2182
739	6188	2174
740	6199	2166
741	6207	2158
742	6214	2149
743	6222	2141
744	6231	2132
745	6239	2124
746	6247	2116
747	6255	2107
748	6263	2099
749	6272	2090
750	6280	2082
751	6289	2074
752	6297	2065
753	6305	2057
754	6313	2048
755	6320	2040
756	6329	2031
757	6336	2023
758	6345	2014
759	6353	2006
760	6361	1997
761	6369	1989
762	6379	1981
763	6387	1973
764	6396	1964
765	6404	1956
766	6412	1948
767	6421	1939
768	6430	1931
769	6439	1923
770	6449	1915
771	6462	1908
772	6471	1900
773	6479	1891
774	6487	1883
775	6495	1875
776	6504	1866
777	6512	1858
778	6520	1849
779	6528	1841
780	6537	1833
781	6545	1824
782	6553	1816
783	6563	1808
784	6571	1799
785	6580	1791
786	6588	1783
787	6596	1774
788	6604	1766
789	6613	1757
790	6620	1749
791	6628	1740
792	6636	1732
793	6643	1723
794	6651	1715
795	6659	1706
796	6667	1698
797	6674	1689
798	6682	1681
799	6690	1672
800	6699	1664
801	6707	1655
802	6716	1647
803	6726	1639
804	6735	1631
805	6746	1623
806	6755	1615
807	6764	1607
808	6772	1598
809	6780	1590
810	6788	1581
811	6795	1573
812	6803	1564
813	6811	1556
814	6819	1548
815	6827	1539
816	6835	1531
817	6842	1522
818	6850	1513
819	6857	1505
820	6866	1497
821	6873	1488
822	6881	1479
823	6889	1471
824	6897	1463
825	6905	1454
826	6913	1446
827	6921	1437
828	6929	1429
829	6937	1421
830	6945	1412
831	6955	1404
832	6963	1396
833	6971	1387
834	6978	1379
835	6986	1370
836	6994	1362
837	7002	1353
838	7010	1345
839	7018	1336
840	7025	1328
841	7033	1319
842	7045	1312
843	7054	1303
844	7062	1295
845	7069	1286
846	7077	1278
847	7085	1269
848	7093	1261
849	7101	1253
850	7114	1245
851	7123	1237
852	7130	1228
853	7138	1220
854	7148	1212
855	7157	1203
856	7166	1195
857	7175	1187
858	7182	1179
859	7190	1170
860	7198	1162
861	7206	1153
862	7214	1145
863	7222	1136
864	7230	1128
865	7238	1120
866	7246	1111
867	7254	1103
868	7261	1094
869	7269	1086
870	7277	1077
871	7285	1069
872	7294	1061
873	7302	1052
874	7310	1044
875	7318	1035
876	7326	1027
877	7334	1019
878	7341	1010
879	7349	1002
880	7358	993
881	7366	985
882	7375	977
883	7383	968
884	7395	961
885	7403	952
886	7412	944
887	7420	935
888	7428	927
