iter	Logloss
242	0.1211612407
243	0.1210797782
244	0.1210222951
245	0.1209531516
246	0.1208757869
247	0.1207641008
248	0.1206395969
249	0.1205065138
250	0.1204696312
251	0.1203242768
252	0.1202349326
253	0.1201315658
254	0.1200361382
255	0.1200001738
256	0.1199222579
257	0.1197465687
258	0.1196323974
259	0.1195896993
260	0.1195496832
261	0.1194183564
262	0.1193401288
263	0.1192458311
264	0.1192003398
265	0.1190286376
266	0.1189581086
267	0.1188555599
268	0.1187581091
269	0.1187267386
270	0.118659574
271	0.1186065932
272	0.1184041993
273	0.1182674115
274	0.1181765012
275	0.1181117021
276	0.1180281422
277	0.1179172102
278	0.1178266793
279	0.1177875767
280	0.1177122028
281	0.1175564386
282	0.1174380539
283	0.1173589266
284	0.1172138324
285	0.1171701939
286	0.1171196734
287	0.1170927676
288	0.1169807329
289	0.1169243878
290	0.1168742362
291	0.1167973814
292	0.1167708103
293	0.1166703432
294	0.1165982575
295	0.1164474849
296	0.1163983097
297	0.1162771531
298	0.1162193924
299	0.1160617043
300	0.1160171032
301	0.1159710827
302	0.115910226
303	0.1158374026
304	0.1158084769
305	0.1157129584
306	0.1156531051
307	0.1156167499
308	0.1155346776
309	0.1153948344
310	0.1152528605
311	0.1151629071
312	0.1150895434
313	0.1150729869
314	0.114983537
315	0.1148574515
316	0.1147836843
317	0.114662949
318	0.1146042214
319	0.1145382627
320	0.1144478419
321	0.1143482369
322	0.1141970783
323	0.1141639782
324	0.1140189445
325	0.1138738264
326	0.1138103955
327	0.1137351986
328	0.1136459959
329	0.1134905009
330	0.1133874206
331	0.1133395868
332	0.1132884569
333	0.1132079541
334	0.1131582586
335	0.1131344604
336	0.1130437542
337	0.1129569429
338	0.112883519
339	0.1127979286
340	0.1127413016
341	0.1127054453
342	0.1125960931
343	0.1125027686
344	0.1124676113
345	0.1123398184
346	0.1122801006
347	0.1122150311
348	0.1120552548
349	0.1119901151
350	0.1119061886
351	0.1118002431
352	0.111747801
353	0.1116616374
354	0.1115902867
355	0.1115260842
356	0.1114389662
357	0.1113976227
358	0.1113543805
359	0.1112639382
360	0.111222525
361	0.1111842048
362	0.1111164316
363	0.1110190604
364	0.1109402682
365	0.1108317211
366	0.1107100371
367	0.1105623514
368	0.1104639336
369	0.11044156
370	0.1103913293
371	0.1103364277
372	0.1102856052
373	0.1102503512
374	0.1101563028
375	0.1101053916
376	0.1099413534
377	0.1098721512
378	0.1098006336
379	0.1096440448
380	0.1095864057
381	0.1095695106
382	0.1095020457
383	0.1094475573
384	0.1094141106
385	0.1092760171
386	0.1091846045
387	0.1091560961
388	0.1091149533
389	0.1090989124
390	0.109067984
391	0.108980675
392	0.108942439
393	0.1088967773
394	0.1088517801
395	0.108807598
396	0.1087472177
397	0.1086743111
398	0.1086379589
399	0.1085961914
400	0.1085509746
401	0.1084981656
402	0.10846205
403	0.1083588659
404	0.1082698478
405	0.1082132761
406	0.1081546302
407	0.1081186861
408	0.1080303556
409	0.1079776043
410	0.1078699628
411	0.1078396864
412	0.1077174908
413	0.1076917536
414	0.1076234544
415	0.107565813
416	0.1075389416
417	0.1075056477
418	0.1074267092
419	0.1073761818
420	0.1072599602
421	0.1072256211
422	0.1071405481
423	0.1070222753
424	0.106911773
425	0.106860731
426	0.1067499073
427	0.1066913279
428	0.1066681951
429	0.1066059349
430	0.1065094834
431	0.1063724814
432	0.1063255114
433	0.1062516605
434	0.106164424
435	0.1061055552
436	0.1060485052
437	0.1060039812
438	0.105914276
439	0.1058674087
440	0.1058251089
441	0.105766726
442	0.1056781501
443	0.1056268071
444	0.1056027197
445	0.1055543331
446	0.1054294964
447	0.1053784948
448	0.1052977206
449	0.1052525611
450	0.105198542
451	0.1051458039
452	0.1050970911
453	0.1050320757
454	0.104980876
455	0.1049301346
456	0.104906843
457	0.1048618467
458	0.1048207573
459	0.1048008298
460	0.1047625104
461	0.1047416855
462	0.1046408158
463	0.1045901827
464	0.1045045866
465	0.1044042479
466	0.1043612331
467	0.1043406288
468	0.1042604057
469	0.1042239125
470	0.1041485248
471	0.1040748644
472	0.1040382791
473	0.1040176525
474	0.1039824546
475	0.1039151818
476	0.1038307909
477	0.103797319
478	0.1037469035
479	0.1037110013
480	0.1036735734
481	0.1036452289
482	0.1035779852
483	0.103531061
484	0.1034916547
485	0.1034599969
486	0.1034382232
487	0.1033900069
488	0.1032908672
489	0.1032467765
490	0.1031899676
491	0.1031510734
492	0.1031087211
493	0.1030325042
494	0.1029956907
495	0.1029334017
496	0.1028499166
497	0.1027764227
498	0.102727032
499	0.1026678992
500	0.102619363
501	0.1025888716
502	0.1025200655
503	0.1024516558
504	0.1023802802
505	0.1023561288
506	0.1023178875
507	0.1022736381
508	0.102213228
509	0.1021811911
510	0.1021211814
511	0.1020573827
512	0.1020286445
513	0.1020123966
514	0.10193594
515	0.1018693022
516	0.1017772758
517	0.1017044047
518	0.1016769707
519	0.1016381418
520	0.1015574439
521	0.101529646
522	0.1014426921
523	0.1014015173
524	0.1013669068
525	0.1013379714
526	0.1012776335
527	0.1012288544
528	0.1011567987
529	0.10111901
530	0.1010260765
531	0.1009007143
532	0.1008326775
533	0.1008094971
534	0.1007734461
535	0.1007408837
536	0.100693036
537	0.1006259857
538	0.1005766225
539	0.1005508092
540	0.1004869202
541	0.1003944262
542	0.1003508296
543	0.1002654437
544	0.1001815887
545	0.1001276281
546	0.100081277
547	0.100056766
548	0.0999814303
549	0.09995822118
550	0.09986183609
551	0.09983968408
552	0.09978303175
553	0.09975379897
554	0.0997351363
555	0.09967419796
556	0.09963683769
557	0.09956453541
558	0.0995391846
559	0.09949463579
560	0.09944217521
561	0.09940964947
562	0.09933650527
563	0.09931195173
564	0.0992244762
565	0.09919696643
566	0.09910077521
567	0.09903100773
568	0.09900304489
569	0.09896192023
570	0.09893592332
571	0.09891711309
572	0.09884761721
573	0.09883213968
574	0.09873505158
575	0.09866928488
576	0.09864653006
577	0.09860268889
578	0.09851074238
579	0.0984523394
580	0.0984245312
581	0.09840081937
582	0.09834264442
583	0.09824700637
584	0.09816381088
585	0.09814415425
586	0.09806008142
587	0.09797068419
588	0.0979138611
589	0.09785794436
590	0.09784355634
591	0.09780890138
592	0.09774577741
593	0.09768398779
594	0.09765430452
595	0.09763361639
596	0.09752410832
597	0.09741107273
598	0.09733092711
599	0.09731322122
600	0.09725702932
601	0.09721425316
602	0.09708332107
603	0.0969734885
604	0.09691948646
605	0.09677102642
606	0.09668681229
607	0.09660812892
608	0.09658235177
609	0.09655624783
610	0.09650652377
611	0.09648195321
612	0.09645213106
613	0.09639474736
614	0.09631356149
615	0.09622916747
616	0.0961705924
617	0.09612047184
618	0.09609055384
619	0.09605850119
620	0.09600663559
621	0.09594056757
622	0.09587493139
623	0.0958217196
624	0.09575814103
625	0.09567472774
626	0.09555348533
627	0.09546737419
628	0.09544777291
629	0.09537479417
630	0.09525482809
631	0.09519407518
632	0.09515870448
633	0.09512197802
634	0.09506827687
635	0.09502813286
636	0.09499145197
637	0.09496759074
638	0.09491159966
639	0.0948746478
640	0.09484095719
641	0.09479961578
642	0.09477981579
643	0.09470379603
644	0.09466831714
645	0.09456068493
646	0.0945386698
647	0.09439385545
648	0.09435674677
649	0.09432201762
650	0.09423761396
651	0.09420751086
652	0.09408495305
653	0.09403573629
654	0.09396877988
655	0.09387935594
656	0.09384693133
657	0.09376742101
658	0.09371438799
659	0.0936432707
660	0.09354814825
661	0.09348945953
662	0.09338938171
663	0.09326703782
664	0.09317486189
665	0.09307631182
666	0.09306017358
667	0.09302982179
668	0.09298887574
669	0.09291972876
670	0.09288742669
671	0.09277519116
672	0.09266601854
673	0.09256069192
674	0.09247824794
675	0.09240311375
676	0.09230628876
677	0.09225001471
678	0.09222754072
679	0.09210215548
680	0.0920485877
681	0.09197828117
682	0.09194887596
683	0.09191436473
684	0.09183778889
685	0.09176915743
686	0.09170914016
687	0.09167310626
688	0.09164476529
689	0.09154865926
690	0.09152287941
691	0.09145969363
692	0.09137468696
693	0.09127567458
694	0.09121075911
695	0.09112283372
696	0.09105706945
697	0.09103524594
698	0.09100889948
699	0.09093661948
700	0.09091566975
701	0.09088858577
702	0.09082452659
703	0.09070213002
704	0.0906482587
705	0.09062597737
706	0.09059306404
707	0.0905250621
708	0.09047148588
709	0.09037077873
710	0.09027255161
711	0.09018019467
712	0.09015097835
713	0.09006672447
714	0.09004541416
715	0.08998368469
716	0.08986726985
717	0.08977857443
718	0.0896560677
719	0.08962567412
720	0.08955833071
721	0.08949755574
722	0.08944666689
723	0.08940813165
724	0.08937599629
725	0.08927491655
726	0.08917578295
727	0.08910509214
728	0.08907433769
729	0.08903728987
730	0.08900405477
731	0.08891324277
732	0.08884253765
733	0.08879083851
734	0.08870984238
735	0.08867438976
736	0.0886373793
737	0.0885501098
738	0.08844876601
739	0.08833394396
740	0.0882859273
741	0.08820964058
742	0.08816552296
743	0.08813267648
744	0.08806845056
745	0.08799095103
746	0.08789781511
747	0.08788099418
748	0.0877943837
749	0.08768643689
750	0.08761329333
751	0.08758005258
752	0.0875289148
753	0.08744507096
754	0.08740002925
755	0.08738517347
756	0.08730567314
757	0.08727687879
758	0.08725787803
759	0.08722983277
760	0.08713683909
761	0.08711354772
762	0.08707270531
763	0.08698247749
764	0.08693693351
765	0.08685525996
766	0.08681423875
767	0.08675444052
768	0.08669213588
769	0.0866145833
770	0.08658760162
771	0.08651036458
772	0.0864431645
773	0.08634626035
774	0.08626717956
775	0.08624068512
776	0.08616365247
777	0.08612238935
778	0.08609600076
779	0.08602137237
780	0.08596563565
781	0.08589221012
782	0.08580817679
783	0.08570134699
784	0.08568725449
785	0.08559579348
786	0.08557071606
787	0.08552797323
788	0.08546498075
789	0.08536751737
790	0.08535464541
791	0.08530911956
792	0.08520031508
793	0.08517832007
794	0.08514499752
795	0.08510643634
796	0.08508503292
797	0.08506665016
798	0.08503673435
799	0.0849399246
800	0.08485404171
801	0.08483577829
802	0.08474611031
803	0.08466296267
804	0.0845895729
805	0.0845413332
806	0.0844650053
807	0.08441074264
808	0.08437109156
809	0.08434654049
810	0.0843218472
811	0.08430511266
812	0.08422204271
813	0.08417487787
814	0.08412403178
815	0.08409903226
816	0.08408362957
817	0.08406791586
818	0.08404255811
819	0.08399132982
820	0.08392304422
821	0.08386712083
822	0.08383277015
823	0.08379865855
824	0.08369967023
825	0.083632585
826	0.08353679348
827	0.08351683584
828	0.08350099576
829	0.08344062699
830	0.0833999979
831	0.08332020195
832	0.08327695376
833	0.08325441179
834	0.08323891038
835	0.0831956944
836	0.08316665505
837	0.08310497711
838	0.08305875056
839	0.08304059114
840	0.0830221387
841	0.08294984598
842	0.08288307555
843	0.08284962553
844	0.08282906632
845	0.0827956998
846	0.08277178635
847	0.08272252971
848	0.08262374171
849	0.08259230213
850	0.08249673408
851	0.08242297835
852	0.08240050298
853	0.08233280982
854	0.08225924694
855	0.08222730419
856	0.08218755168
857	0.08211070966
858	0.082102476
859	0.08207717656
860	0.08202673389
861	0.08194813717
862	0.08191033411
863	0.08181143446
864	0.0817806816
865	0.08172969867
866	0.08169862241
867	0.08161580361
868	0.08160510556
869	0.08150155603
870	0.08146595228
871	0.08141087355
872	0.08132899849
873	0.08127740187
874	0.08122328397
875	0.08116313761
876	0.08107816526
877	0.08104873156
878	0.08103162587
879	0.08098508874
880	0.08091471058
881	0.08084400758
882	0.08080624166
883	0.08073960631
884	0.08071752948
885	0.08062166407
886	0.0805220236
887	0.08044936843
888	0.08038876319
889	0.08037677712
890	0.08036246402
891	0.0803478588
892	0.08028967578
893	0.08025740019
894	0.08022855073
895	0.08017526025
896	0.08013401328
897	0.08009856501
898	0.08006381364
899	0.0800240781
900	0.08000080873
901	0.07996194379
902	0.07992899984
903	0.07989148511
904	0.07985087738
905	0.07978931692
906	0.07976858579
907	0.07975198759
908	0.07969361978
909	0.07967443944
910	0.07965076322
911	0.07961756582
912	0.07957528422
913	0.07954286861
914	0.07951681743
915	0.07948299694
916	0.07946378212
917	0.07943465072
918	0.07936501409
919	0.07929303493
920	0.07917553475
921	0.07915386959
922	0.07910997164
923	0.07907934796
924	0.07906651789
925	0.07904270415
926	0.07903206335
927	0.07900704195
928	0.0789674477
929	0.07889354017
930	0.07882704554
931	0.07873974186
932	0.07865111431
933	0.07863644789
934	0.07861042985
935	0.07860082308
936	0.07857644338
937	0.07853818238
938	0.07849062133
939	0.0784233659
940	0.07834363508
941	0.07830724606
942	0.07829757212
943	0.07827417849
944	0.07823194601
945	0.07816353816
946	0.07806493867
947	0.07803839005
948	0.07797174251
949	0.07794943408
950	0.07791217114
951	0.07787278286
952	0.07782678897
953	0.07781746455
954	0.07777637854
955	0.07773867974
956	0.07770993119
957	0.07770011414
958	0.07766947908
959	0.07765070049
960	0.07764157346
961	0.07760201544
962	0.07753077337
963	0.07750835068
964	0.07742564501
965	0.07735003945
966	0.07726046959
967	0.07719025794
968	0.0771563314
969	0.07714082788
970	0.07707825394
971	0.07699555597
972	0.07694299781
973	0.07689306745
974	0.07683745112
975	0.07677303551
976	0.07670593566
977	0.07664634555
978	0.07659356141
979	0.07655484774
980	0.07649583938
981	0.07642409619
982	0.07635999156
983	0.07632435058
984	0.0762585822
985	0.07619809019
986	0.07613500621
987	0.07607256957
988	0.07599873533
989	0.0759409011
990	0.07590724514
991	0.07584593596
992	0.07577796656
993	0.07572214677
994	0.07561958081
995	0.07557223458
996	0.0755137337
997	0.07549560702
998	0.0754373339
999	0.07540263519
